Titulo,Fecha del evento,Ubicación,Requisitos / Público de interés,Link original
Ver actividadesarrow_forward,N/A,N/A,N/A,https://www.uc.cl/agenda/evento/cine-recobrado
Ver actividadesarrow_forward,N/A,N/A,N/A,https://www.uc.cl/agenda/evento/feria-leer-es-un-regalo
Ver actividadesarrow_forward,N/A,N/A,N/A,https://www.uc.cl/agenda/evento/navidad-de-pelicula
Ver actividadesarrow_forward,N/A,N/A,N/A,https://www.uc.cl/agenda/evento/navidad-en-la-uc
Ver actividadesarrow_forward,N/A,N/A,N/A,https://www.uc.cl/agenda/evento/feria-de-orientacion-y-postulacion-uc
Encuesta Docente,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/encuesta-docente-2025-2
Feria #LeerEsUnRegalo,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/feria-leer-es-un-regalo
Exposición: Quino en la música. Pirque,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-quino-en-la-musica-pirque
Exposición: El trabajo de comer,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-el-trabajo-de-comer
XXXII Congreso Sociedad Chilena de Fitopatología (SOCHIFIT),N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/xxxii-congreso-sociedad-chilena-de-fitopatologia-sochifit
"Exposición ""Códigos Populares"" en MAVI UC",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-codigos-populares-en-mavi-uc
Exposición Kume Mongen en Sala MAS de MAVI UC,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-kume-mongen-en-sala-mas-de-mavi-uc
Exposición Quitapenas en MAVI UC,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-quitapenas-en-mavi-uc
2ª Edición Bienal de Arte Textil en MAVI UC,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/2-edicion-bienal-de-arte-textil-en-mavi-uc
Exposición: Aula de arte y artesanías. Pueblos originarios y artesanos,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-aula-de-arte-y-artesanias-pueblos-originarios-y-artesanos-1
Exposición: Paz y Justicia. Casa Violeta Parra,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-paz-y-justicia-casa-violeta-parra
Exposición: Huidobro en ruta,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-huidobro-en-ruta
Exposición Atenea: 100 años de difusión del conocimiento y de las artes,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-atenea-100-anos-de-difusion-del-conocimiento-y-de-las-artes
"Exposición: Alabastro andino, piedad en piedra huamanga",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-alabastro-andino-piedad-en-piedra-huamanga
Exposición: Plata. Lujo y ruina,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-plata-lujo-y-ruina
Exposición: Más allá del aplauso,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-mas-alla-del-aplauso
Cheese and Wine (Campaña Futuro UC 2025),N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cheese-and-wine-campana-futuro-uc-2025
Exposición: Eduardo Vilches. Artista gráfico,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-eduardo-vilches-artista-grafico
Cine: Tontos en altura,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-tontos-en-altura
"Conversatorio: ""Turismo y memoria"" sobre el libro Balnearios Populares 1970 -1973",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/conversatorio-turismo-y-memoria-sobre-el-libro-balnearios-populares-1970-1973
Cine: The Mist,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cine-the-mist
Mes de María en San Joaquín,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/mes-de-maria-en-san-joaquin-1
Mes de María en Campus Oriente,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/mes-de-maria-en-campus-oriente-1
Mes de María en Casa Central,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/mes-de-maria-en-casa-central-1
Mes de María en Lo Contador,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/mes-de-maria-en-lo-contador
"Lanzamiento: ""Cagliostro"" de Vicente Huidobro",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/lanzamiento-cagliostro-de-vicente-huidobro
Reactívate en la UC este Verano 2025-2026,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/reactivate-en-la-uc-este-verano-2025-2026
Lanzamiento Guía para Tutores Digitales - Programa 60+Digital,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/lanzamiento-guia-para-tutores-digitales-programa-60-digital
Coloquio Teorías Sociales y Culturales | Eve Chiapello,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/coloquio-teorias-sociales-y-culturales-eve-chiapello
Zotero:  Citas y bibliografías  en un clic,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/zotero-citas-y-bibliografias-en-un-clic-008-25
