Titulo,Resumen breve,Contenido completo,Fuentes/origen,Fecha publicación,Fecha del evento,Ubicación,Requisitos / Público de interés,Link original
Papa León XIV escribe Carta apostólica sobre el Concilio de Nicea,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/papa-leon-xiv-escribe-carta-apostolica-sobre-el-concilio-de-nicea/
UC instala mesa transversal para acelerar la integración de IA en la formación,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/uc-instala-mesa-transversal-para-acelerar-la-integracion-de-ia-en-la-formacion/
VistaChile: conocimiento territorial para fortalecer la enseñanza,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/vistachile-conocimiento-territorial-para-fortalecer-la-ensenanza/
Académicos UC se suman a la nueva era de observación astronómica,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/academicos-uc-se-suman-a-la-nueva-era-de-observacion-astronomica/
UC avanza en el proceso de acreditación institucional,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/uc-avanza-en-el-proceso-de-acreditacion-institucional/
Informe UC aporta evidencia técnica al debate sobre Financiamiento de la Educación Superior (FES),N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/informe-uc-aporta-evidencia-tecnica-al-debate-sobre-financiamiento-de-la-educacion-superior-fes/
Desde innovación vitivinícola a computación cuántica: UC se adjudica 20 proyectos ANID,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/desde-innovacion-vitivinicola-a-computacion-cuantica-uc-se-adjudica-20-proyectos-anid/
Longkotukun Dungu Lab: Neurociencia al servicio del territorio,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/longkotukun-dungu-lab-neurociencia-al-servicio-del-territorio/
Beca UC-Santander: Cruzar las fronteras para aportar a Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/cruzar-las-fronteras-para-aportar-a-chile/
Sueñaletras: innovación UC fortalece la inclusión en las escuelas,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/suenaletras-innovacion-uc-fortalece-la-inclusion-en-las-escuelas/
Del aula al mercado: innovaciones que impactan en la vida de las personas,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/del-aula-al-mercado-innovaciones-que-impactan-en-la-vida-de-las-personas/
Atención estudiante de magíster: ya puedes postular al beneficio de residencia (1er semestre 2026),N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/atencion-estudiante-de-magister-ya-puedes-postular-al-beneficio-de-residencia/
"IMII lidera encuentro internacional en la UC sobre inmunología, vacunas y comunicación científica",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/imii-lidera-encuentro-internacional-en-la-uc-sobre-inmunologia-vacunas-y-comunicacion-cientifica/
Mes de María: Chile es el único país del mundo que lo celebra en noviembre y con rezo diario,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/mes-de-maria-chile-es-el-unico-pais-del-mundo-que-lo-celebra-en-noviembre-y-con-rezo-diario/
Participa en la Encuesta Docente: conoce sus novedades y dónde responder,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/participa-en-la-encuesta-docente-conoce-sus-novedades-y-donde-responder/
Propuestas para el futuro gobierno: conocimiento al servicio de Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/conocimiento-al-servicio-de-chile-uc-entrega-propuestas-para-el-futuro-gobierno/
Innovación UC contra enfermedades neurodegenerativas cruza fronteras,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/innovacion-uc-contra-enfermedades-neurodegenerativas-cruza-fronteras/
Investigación con impacto global: 30 académicos UC entre el 2% de los más citados del mundo,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/30-academicos-uc-entre-el-2-de-los-cientificos-mas-citados-del-mundo/
“Más allá del aplauso: Don Francisco y la Solidaridad” muestra campañas mediáticas que unen a Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/mas-alla-del-aplauso-don-francisco-y-la-solidaridad-reune-los-hitos-de-campanas-mediaticas-que-han-unido-a-chile/
Analizan la vulnerabilidad de la red eléctrica chilena,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/analizan-la-vulnerabilidad-de-la-red-electrica-chilena/
Amoníaco verde: la nueva frontera científica que impulsa la UC para un Chile sostenible,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/amoniaco-verde-la-nueva-frontera-cientifica-que-impulsa-la-uc-para-un-chile-sostenible/
Congreso abordó la relevancia de la libertad religiosa como fundamento del pluralismo democrático,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/congreso-abordo-la-relevancia-de-la-libertad-religiosa-como-fundamento-del-pluralismo-democratico/
Testigos del cambio climático: La memoria que puede cambiar el futuro,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/testigos-del-cambio-climatico-la-memoria-que-puede-cambiar-el-futuro/
33 egresadas UC de pre y postgrado son reconocidas dentro de las 100 Mujeres Líderes 2025,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/33-egresadas-uc-de-pre-y-postgrado-son-reconocidas-dentro-de-las-100-mujeres-lideres-2025/
Crean un laboratorio “vivo” en Villarrica para aprender sobre cambio climático,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/crean-un-laboratorio-vivo-en-villarrica-para-aprender-sobre-cambio-climatico/
Investigadores UC proponen las bases de un marco regulatorio para el agua de niebla en Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/investigadores-uc-proponen-las-bases-de-un-marco-regulatorio-para-el-agua-de-niebla-en-chile/
"UC impulsa lineamientos comunes para el trabajo con niños, niñas y jóvenes en sus campus",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/uc-impulsa-lineamientos-comunes-para-el-trabajo-con-ninos-ninas-y-jovenes-en-sus-campus/
"Las ventajas de aprender con juegos de mesa, una metodología educativa que gana terreno",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/las-ventajas-de-aprender-con-juegos-de-mesa-una-metodologia-educativa-que-gana-terreno/
Diseño de arquitecto Alejandro Aravena es elegido para el nuevo museo de Qatar,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/alejandro-aravena-academico-uc-es-elegido-entre-400-postulantes-como-el-arquitecto-del-nuevo-museo-de-arte-contemporaneo-de/
Estudio realizado por médicos chilenos impacta la Medicina Intensiva en el mundo,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/estudio-clinico-uc-con-1500-pacientes-impacta-la-medicina-intensiva-en-el-mundo/
"Remakes, exportar guiones y streaming: Los intentos de la TV abierta por salvar las teleseries",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/remakes-exportar-guiones-y-streaming-los-intentos-de-la-tv-abierta-por-no-dejar-morir-las-teleseries/
Rolf Lüders y Gert Wagner son homenajeados por más de 60 años de trayectoria docente,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/rolf-luders-y-gert-wagner-son-homenajeados-por-mas-de-60-anos-de-trayectoria-docente/
"La vigencia del pensamiento de Newman, el primer Doctor de la Iglesia en más de un siglo",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/vigencia-del-pensamiento-de-newman-nuevo-doctor-de-la-iglesia/
Encuesta Bicentenario UC: sociedad chilena retoma el optimismo,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/encuesta-bicentenario-uc-sociedad-chilena-retoma-el-optimismo/
Doctorantes UC innovan en alimentos sostenibles de alto impacto,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/doctorantes-uc-innovan-en-alimentos-sostenibles-de-alto-impacto/
Desde altura de la mesa hasta inflexibilidad de vocales: Barreras que persisten a la hora de votar,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/desinformacion-falta-de-capacitacion-e-infraestructura-las-barreras-en-las-votaciones/
Honorable Consejo Superior avanza en la estrategia para concretar el sueño UC de transformar Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/honorable-consejo-superior-avanza-en-la-estrategia-para-concretar-el-sueno-uc-de-transformar-chile/
"Nueva líder FEUC: “Somos la mejor universidad de Chile, pero tenemos que ser la mejor para Chile""",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/nueva-lider-feuc-somos-la-mejor-universidad-de-chile-pero-tenemos-que-ser-la-mejor-para-chile/
"Consejera superior electa: “Yo creo en la universidad, en transformar desde la escucha""",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/consejera-superior-electa-yo-creo-en-la-universidad-en-transformar-desde-la-escucha/
"Héctor Noguera, actor emblema del teatro chileno, muere a los 88 años",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/muere-hector-noguera-actor-emblema-del-teatro-chileno/
"Carlos Caszely, Rosa Devés y Hernán Rivera Letelier son parte de los 100 Líderes Mayores 2025",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/carlos-caszely-rosa-deves-y-hernan-rivera-letelier-son-parte-de-los-100-lideres-mayores-2025/
Avanza UC: la audaz apuesta para crear nuevo conocimiento al servicio de Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/avanza-uc-la-audaz-apuesta-para-crear-nuevo-conocimiento-al-servicio-de-chile/
Diversidad que enriquece: Uno de cada diez estudiantes UC es extranjero o de pueblos originarios,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/diversidad-que-enriquece-uno-de-cada-diez-estudiantes-uc-es-extranjero-o-de-pueblos-originarios/
MIDE UC celebra 20 años generando evidencia clave para Chile y la región,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/mide-uc-celebra-20-anos-generando-evidencia-clave-para-chile-y-la-region/
FIF UC 2025: cuando el futuro toca la puerta,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/fif-uc-2025-cuando-el-futuro-toca-la-puerta/
Bárbara Oakley visitó la UC para reflexionar sobre el impacto de la IA en el aprendizaje,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/barbara-oakley-visito-la-uc-para-reflexionar-sobre-el-impacto-de-la-ia-en-el-aprendizaje/
"El ""secreto"" para mejorar la seguridad laboral: la fórmula de la colaboración",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/el-secreto-para-mejorar-la-seguridad-laboral-la-formula-de-la-colaboracion/
"”El ideal es que se viralice"": El rol e influencia de la franja electoral en los tiempos actuales",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/franja-presidencial-2025-la-ultima-milla-de-la-politica/
Día Mundial contra el Cáncer de Mama: Más de 1.300 mujeres han muerto en lo que va del año en Chile,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/dia-mundial-contra-el-cancer-de-mama-mas-de-1.300-mujeres-han-muerto-en-lo-que-va-del-ano-en-chile/
Futura ingeniera UC viaja a EE.UU. para entrenamiento de aterrizaje en misiones espaciales,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/futura-ingeniera-uc-viaja-a-ee.uu-para-entrenamiento-de-aterrizaje-en-misiones-espaciales/
Estas son las claves para desarrollar la comprensión lectora desde la infancia,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/estas-son-las-claves-para-desarrollar-la-comprension-lectora-desde-la-infancia/
"Profesor de la UC que fue ayudante del Nobel de Economía: ""Siempre mostró generosidad intelectual""",N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/profesor-de-la-uc-que-fue-ayudante-del-nobel-de-economia-siempre-mostro-generosidad-intelectual/
Más de 900 escolares participaron en Campus Abierto UC 2025,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/mas-de-900-escolares-participaron-en-campus-abierto-uc-2025/
Implementar barcos-cárceles y cerrar las fronteras: Las propuestas de Franco Parisi en Clapes UC,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/implementar-barcos-carceles-y-cerrar-las-fronteras-las-propuestas-de-franco-parisi-en-clapes-uc/
Tenemos que Hablar de Chile presenta Propuestas Ciudadanas a candidaturas presidenciales,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/tenemos-que-hablar-de-chile-presenta-propuestas-ciudadanas-a-candidaturas-presidenciales/
¡UC campeona! Nuestros estudiantes lideraron los Juegos Nacionales Universitarios 2025,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/uc-campeona-nuestros-estudiantes-lideraron-los-juegos-nacionales-universitarios-2025/
Equipos presidenciales cruzan posturas sobre seguridad en la UC,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/equipos-presidenciales-cruzan-posturas-sobre-seguridad-en-la-uc/
Destacan relevancia de integridad académica y uso ético de la inteligencia artificial,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/destacan-relevancia-de-integridad-academica-y-uso-etico-de-la-inteligencia-artificial/
Crean plataforma nacional de conocimiento científico que concentra un 60% de investigaciones UC,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/crean-plataforma-nacional-de-conocimiento-cientifico-que-concentra-un-60-de-investigaciones-uc/
Investigadores UC son premiados por la defensa del río que desafió a la ciencia y diplomacia,N/A,,UC,N/A,N/A,N/A,N/A,https://www.uc.cl/noticias/investigadores-uc-son-premiados-por-la-defensa-del-rio-que-desafio-a-la-ciencia-y-diplomacia/
